Date,Region,Indicator,Value
2000-12-31,IRL,HepB3_coverage_pct,0.0
2000-12-31,IRL,MCV1_measles_coverage_pct,79.0
2000-12-31,IRN,BCG_coverage_pct,99.0
2000-12-31,IRN,DTP3_coverage_pct,99.0
2000-12-31,IRN,HepB3_coverage_pct,99.0
2000-12-31,IRN,MCV1_measles_coverage_pct,99.0
2000-12-31,IRQ,BCG_coverage_pct,93.0
2000-12-31,IRQ,DTP3_coverage_pct,80.0
2000-12-31,IRQ,HepB3_coverage_pct,67.0
2000-12-31,IRQ,MCV1_measles_coverage_pct,86.0
2000-12-31,ISL,DTP3_coverage_pct,98.0
2000-12-31,ISL,HepB3_coverage_pct,0.0
2000-12-31,ISL,MCV1_measles_coverage_pct,91.0
2000-12-31,ISR,DTP3_coverage_pct,93.0
2000-12-31,ISR,HepB3_coverage_pct,98.0
2000-12-31,ISR,MCV1_measles_coverage_pct,95.0
2000-12-31,ITA,DTP3_coverage_pct,87.0
2000-12-31,ITA,HepB3_coverage_pct,94.0
2000-12-31,ITA,MCV1_measles_coverage_pct,74.0
2000-12-31,JAM,BCG_coverage_pct,94.0
2000-12-31,JAM,DTP3_coverage_pct,93.0
2000-12-31,JAM,HepB3_coverage_pct,0.0
2000-12-31,JAM,MCV1_measles_coverage_pct,88.0
2000-12-31,JOR,DTP3_coverage_pct,91.0
2000-12-31,JOR,HepB3_coverage_pct,93.0
2000-12-31,JOR,MCV1_measles_coverage_pct,94.0
2000-12-31,JPN,DTP3_coverage_pct,85.0
2000-12-31,JPN,HepB3_coverage_pct,0.0
2000-12-31,JPN,MCV1_measles_coverage_pct,96.0
2000-12-31,KAZ,BCG_coverage_pct,98.0
2000-12-31,KAZ,DTP3_coverage_pct,97.0
2000-12-31,KAZ,HepB3_coverage_pct,99.0
2000-12-31,KAZ,MCV1_measles_coverage_pct,99.0
2000-12-31,KEN,BCG_coverage_pct,93.0
2000-12-31,KEN,DTP3_coverage_pct,82.0
2000-12-31,KEN,HepB3_coverage_pct,0.0
2000-12-31,KEN,MCV1_measles_coverage_pct,78.0
2000-12-31,KGZ,BCG_coverage_pct,96.0
2000-12-31,KGZ,DTP3_coverage_pct,99.0
2000-12-31,KGZ,HepB3_coverage_pct,44.0
2000-12-31,KGZ,MCV1_measles_coverage_pct,98.0
2000-12-31,KHM,BCG_coverage_pct,81.0
2000-12-31,KHM,DTP3_coverage_pct,59.0
